                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1408,                 3.8561,                 1.7873,                0.58026,                0.51773,                0.55466,                0.30616,                 3.0017,                 2.1608,                 1.7961,             0.00041579,             0.00041579,             0.00041579
                      2,                  3.193,                 1.9378,                 1.8007,                0.72192,                0.54693,                0.58681,                0.36002,                 2.7303,                 1.8067,                 1.7389,             0.00082215,             0.00082215,             0.00082215
                      3,                 3.0545,                 1.9014,                 1.7863,                 0.6882,                 0.6344,                0.67133,                0.40879,                 2.6407,                 1.6753,                 1.7331,              0.0012182,              0.0012182,              0.0012182
                      4,                 2.9313,                  1.753,                 1.7654,                0.62835,                0.65996,                0.72059,                0.44418,                 2.5551,                 1.7656,                 1.7199,              0.0012036,              0.0012036,              0.0012036
                      5,                 2.8717,                 1.6723,                 1.7563,                0.78743,                0.72311,                0.76985,                0.48656,                 2.3676,                 1.5451,                 1.6939,              0.0011881,              0.0011881,              0.0011881
                      6,                 2.7494,                  1.571,                 1.7359,                0.80194,                0.70696,                 0.7797,                0.51518,                 2.3337,                 1.4417,                 1.6845,              0.0011727,              0.0011727,              0.0011727
                      7,                 2.6813,                 1.5249,                 1.7331,                0.83535,                0.75862,                0.83894,                0.53792,                 2.3963,                 1.3719,                 1.6901,              0.0011572,              0.0011572,              0.0011572
                      8,                 2.6779,                 1.5129,                 1.7248,                0.77065,                0.76483,                0.82045,                0.53234,                 2.2912,                 1.3218,                 1.6761,              0.0011417,              0.0011417,              0.0011417
                      9,                 2.6475,                 1.4608,                 1.7191,                0.82423,                0.78383,                0.82476,                0.53442,                 2.2404,                 1.2902,                 1.6768,              0.0011263,              0.0011263,              0.0011263
                     10,                 2.6006,                 1.4012,                 1.7161,                0.83291,                0.75314,                 0.8268,                0.54529,                 2.3659,                 1.2816,                 1.6839,              0.0011108,              0.0011108,              0.0011108
                     11,                 2.5707,                 1.3934,                 1.7086,                0.77253,                0.78285,                0.79362,                0.50943,                 2.2888,                 1.2731,                 1.6796,              0.0010953,              0.0010953,              0.0010953
                     12,                  2.539,                 1.3672,                 1.7013,                0.83608,                0.79323,                0.85855,                0.57157,                 2.1433,                 1.2766,                 1.6621,              0.0010798,              0.0010798,              0.0010798
                     13,                 2.5213,                 1.3579,                 1.6996,                 0.8119,                0.81693,                0.86297,                0.57024,                 2.1703,                 1.2285,                 1.6647,              0.0010644,              0.0010644,              0.0010644
                     14,                 2.4848,                 1.3172,                 1.6973,                0.85525,                0.81548,                0.86258,                0.58108,                 2.1207,                 1.1568,                 1.6595,              0.0010489,              0.0010489,              0.0010489
                     15,                  2.493,                 1.3175,                 1.7022,                0.85165,                0.79472,                0.86139,                0.57716,                 2.1365,                  1.165,                 1.6611,              0.0010334,              0.0010334,              0.0010334
                     16,                 2.4208,                 1.2849,                 1.6941,                0.86264,                0.80004,                0.88481,                0.57265,                 2.1449,                 1.1499,                 1.6635,               0.001018,               0.001018,               0.001018
                     17,                 2.4513,                 1.2767,                 1.6921,                0.80299,                0.85022,                0.88768,                0.59899,                 2.0572,                 1.1305,                 1.6508,              0.0010025,              0.0010025,              0.0010025
                     18,                 2.4063,                  1.239,                 1.6852,                0.78034,                0.83123,                0.87125,                 0.5789,                  2.099,                 1.1724,                  1.654,             0.00098703,             0.00098703,             0.00098703
                     19,                 2.3904,                 1.2314,                 1.6911,                0.82402,                0.84218,                0.88617,                0.59422,                 2.0997,                 1.1727,                 1.6584,             0.00097156,             0.00097156,             0.00097156
                     20,                 2.3853,                 1.2338,                 1.6817,                0.86622,                0.81935,                0.89574,                0.59205,                 2.0877,                 1.1194,                 1.6565,             0.00095609,             0.00095609,             0.00095609
                     21,                 2.3611,                 1.2361,                 1.6769,                0.83902,                0.83566,                 0.8911,                0.58947,                  2.105,                 1.1652,                 1.6618,             0.00094062,             0.00094062,             0.00094062
                     22,                 2.3421,                 1.1975,                 1.6762,                0.83403,                0.87452,                0.89813,                0.59359,                 2.0073,                 1.1065,                 1.6487,             0.00092516,             0.00092516,             0.00092516
                     23,                 2.3296,                 1.1888,                 1.6779,                0.82251,                 0.9024,                0.91114,                0.60714,                 2.0489,                 1.1337,                  1.648,             0.00090969,             0.00090969,             0.00090969
                     24,                 2.3195,                 1.1806,                 1.6704,                0.90541,                0.79927,                0.89537,                0.61284,                 1.9935,                 1.1019,                 1.6425,             0.00089422,             0.00089422,             0.00089422
                     25,                 2.2979,                 1.1505,                 1.6691,                0.87431,                  0.836,                  0.905,                 0.6147,                 2.0029,                 1.0527,                  1.644,             0.00087875,             0.00087875,             0.00087875
                     26,                 2.2841,                 1.1314,                 1.6699,                0.89464,                0.86682,                 0.9154,                0.61056,                 2.0514,                 1.0669,                 1.6472,             0.00086328,             0.00086328,             0.00086328
                     27,                 2.2813,                 1.1428,                 1.6725,                0.90744,                0.79915,                0.90621,                0.62335,                 2.0048,                 1.0468,                 1.6442,             0.00084781,             0.00084781,             0.00084781
                     28,                 2.2938,                 1.1618,                 1.6732,                0.87464,                0.81215,                0.88959,                0.60099,                 2.0294,                  1.052,                 1.6485,             0.00083234,             0.00083234,             0.00083234
                     29,                  2.259,                 1.1198,                 1.6607,                0.85545,                0.85186,                0.90156,                0.62186,                 1.9673,                 1.0653,                 1.6406,             0.00081688,             0.00081688,             0.00081688
                     30,                 2.2242,                 1.1038,                 1.6624,                0.85469,                0.84007,                0.90097,                0.61784,                 1.9722,                 1.0803,                 1.6414,             0.00080141,             0.00080141,             0.00080141
                     31,                 2.2498,                 1.1217,                 1.6627,                0.84168,                0.87334,                0.90883,                0.62656,                 1.9573,                 1.0308,                  1.639,             0.00078594,             0.00078594,             0.00078594
                     32,                 2.2018,                 1.0852,                 1.6599,                0.86139,                0.85599,                0.90575,                0.63082,                 1.9753,                 1.0106,                   1.64,             0.00077047,             0.00077047,             0.00077047
                     33,                 2.2232,                 1.0947,                 1.6643,                0.88097,                0.79915,                 0.8771,                0.61103,                 2.0698,                 1.0765,                 1.6494,               0.000755,               0.000755,               0.000755
                     34,                 2.2044,                 1.0853,                 1.6619,                    0.9,                0.84184,                0.91037,                0.64386,                 1.8514,                 0.9879,                 1.6302,             0.00073953,             0.00073953,             0.00073953
                     35,                 2.2089,                 1.0896,                 1.6599,                0.84647,                0.86702,                 0.9051,                0.63778,                 1.8983,                 0.9954,                 1.6342,             0.00072406,             0.00072406,             0.00072406
                     36,                  2.165,                 1.0668,                 1.6549,                0.89834,                0.84351,                0.91035,                0.64099,                 1.8984,                0.97316,                 1.6337,             0.00070859,             0.00070859,             0.00070859
                     37,                 2.1628,                 1.0617,                 1.6551,                0.85763,                0.86355,                0.91689,                0.63589,                 1.9023,                 1.0204,                 1.6322,             0.00069313,             0.00069313,             0.00069313
                     38,                 2.2022,                 1.0779,                 1.6583,                0.89734,                0.85065,                 0.9092,                0.63496,                 1.9153,                0.97896,                 1.6311,             0.00067766,             0.00067766,             0.00067766
                     39,                 2.1464,                 1.0563,                 1.6541,                0.90522,                0.84195,                0.90818,                0.63973,                 1.9475,                 1.0316,                 1.6398,             0.00066219,             0.00066219,             0.00066219
